year,category,band,institute_id,name,city,state
2016,Engineering,,,"A. Shama Rao Foundations' Group of Institutions, Srinivas Integrated Campus",Mangalore,Karnataka
2016,Engineering,,,A.D.Patel Institute of Technology,Anand,Gujarat
2016,Engineering,,,A.V.C.College of Engineering,Mayiladuthurai,Tamil Nadu
2016,Engineering,,,Aarupadai Veedu Institute of Technology,Chennai,Tamil Nadu
2016,Engineering,,,ABES Engineering College,Ghaziabad,Uttar Pradesh
2016,Engineering,,,Academy of Technology,Hooghly,West Bengal
2016,Engineering,,,Acharya Institute of Technology,Bengaluru,Karnataka
2016,Engineering,,,Acropolis Institute of Technology and Research,Indore,Madhya Pradesh
2016,Engineering,,,Acropolis Technical Campus,Indore,Madhya Pradesh
2016,Engineering,,,Acs College of Engineering,Bengaluru,Karnataka
2016,Engineering,,,Adi Shankara Institute of Engineering and Technology,Kalady,Kerala
2016,Engineering,,,Adichunchanagiri Institute of Technology,Chikmagalur,Karnataka
2016,Engineering,,,Adikavi Nannaya University,Rajahmundry,Andhra Pradesh
2016,Engineering,,,"Adina Institute of Science and Technology, Sagar, Mp",Sagar,Madhya Pradesh
2016,Engineering,,,Aditya College of Engineering,Madanapalle,Andhra Pradesh
2016,Engineering,,,Aditya College of Engineering,Surampalem,Andhra Pradesh
2016,Engineering,,,Aditya College of Engineering & Technology,Kakinada,Andhra Pradesh
2016,Engineering,,,Aditya Engineering College,Surampalem,Andhra Pradesh
2016,Engineering,,,Aditya Institute of Technology and Management,Tekkali,Andhra Pradesh
2016,Engineering,,,Adusumilli Gopalakrishnaiah & Sugarcane Growers Siddhartha Degree College of Arts & Science,District Krishna,Andhra Pradesh
2016,Engineering,,,Agnel Institute of Technology and Design,Assagao,Goa
2016,Engineering,,,Agni College of Technology,Chennai,Tamil Nadu
2016,Engineering,,,Ajay Kumar Garg Engineering College,Ghaziabad,Uttar Pradesh
2016,Engineering,,,Akshaya College of Engineering and Technology,Coimbatore,Tamil Nadu
2016,Engineering,,,Alagappa Chettiar College of Engineering and Technology,Karaikudi,Tamil Nadu
2016,Engineering,,,Al-Ameen Engineering College,Erode,Tamil Nadu
2016,Engineering,,,Alfa College of Engineering and Technology,Allagadda,Andhra Pradesh
2016,Engineering,,,"All India Shri Shivaji Memorial Society's College of Engineering, Pune-1",Pune,Maharashtra
2016,Engineering,,,All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune,Maharashtra
2016,Engineering,,,Alpha College of Engineering & Technology,Puducherry,Pondicherry
