year,institute_id,name,openalex_id,publications_3y,citations_3y,source
2021,IR-E-U-0456,Indian Institute of Technology Madras,I24676775,9796,256817,openalex
2021,IR-E-I-1074,Indian Institute of Technology Delhi,I68891433,9846,241469,openalex
2021,IR-E-U-0306,Indian Institute of Technology Bombay,I162827531,9448,235115,openalex
2021,IR-E-I-1075,Indian Institute of Technology Kanpur,I94234084,6305,148024,openalex
2021,IR-E-U-0573,Indian Institute of Technology Kharagpur,I145894827,9679,247151,openalex
2021,IR-E-U-0560,Indian Institute of Technology Roorkee,I154851008,7031,174577,openalex
2021,IR-E-U-0053,Indian Institute of Technology Guwahati,I1317621060,6097,153785,openalex
2021,IR-E-U-0013,Indian Institute of Technology Hyderabad,I65181880,3337,120864,openalex
2021,IR-E-U-0467,National Institute of Technology Tiruchirappalli,I122964287,3424,73322,openalex
2021,IR-E-U-0237,National Institute of Technology Karnataka,I11880225,3191,62377,openalex
2021,IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),I56404289,2683,63471,openalex
2021,IR-E-U-0490,Vellore Institute of Technology,I876193797,11950,250912,openalex
2021,IR-E-U-0273,Indian Institute of Technology Indore,I64295750,2845,80252,openalex
2021,IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,I56404289,2683,63471,openalex
2021,IR-E-U-0308,Institute of Chemical Technology,I167751958,2118,59585,openalex
2021,IR-E-U-0436,Amrita Vishwa Vidyapeetham,I81556334,5328,84252,openalex
2021,IR-E-U-0575,Jadavpur University,I170979836,6497,118958,openalex
2021,IR-E-U-0378,Indian Institute of Technology Ropar,I119241673,1236,29739,openalex
2021,IR-E-U-0357,National Institute of Technology Rourkela,I16292982,4178,97970,openalex
2021,IR-E-U-0064,Indian Institute of Technology Patna,I132153292,1647,37321,openalex
2021,IR-E-U-0139,Indian Institute of Technology Gandhinagar,I27674431,1411,70214,openalex
2021,IR-E-U-0025,National Institute of Technology Warangal,I121750182,2407,45652,openalex
2021,IR-E-I-1480,Thapar Institute of Engineering and Technology,I162030827,3275,114799,openalex
2021,IR-E-U-0263,National Institute of Technology Calicut,I114845381,1849,33803,openalex
2021,IR-E-U-0391,Birla Institute of Technology & Science -Pilani,I74796645,2860,89707,openalex
2021,IR-E-U-0584,Indian Institute of Engineering Science and Technology,I98365261,2841,51354,openalex
2021,IR-E-U-0355,Indian Institute of Technology Bhubaneswar,I99729588,1504,34964,openalex
2021,IR-E-U-0577,National Institute of Technology Durgapur,I155837530,2466,43686,openalex
2021,IR-E-U-0334,Visvesvaraya National Institute of Technology,I167153416,2063,39833,openalex
2021,IR-E-U-0497,Amity University,I191972202,3987,77844,openalex
2021,IR-E-U-0363,Siksha `O` Anusandhan,I193073490,2210,45285,openalex
2021,IR-E-U-0108,Jamia Millia Islamia,I59475050,3583,100299,openalex
2021,IR-E-U-0473,S.R.M. Institute of Science and Technology,I145286018,4469,93659,openalex
2021,IR-E-U-0496,Aligarh Muslim University,I171210897,5241,128019,openalex
2021,IR-E-U-0098,Delhi Technological University,I863896202,2414,61521,openalex
2021,IR-E-U-0410,Malaviya National Institute of Technology,I83205935,2397,62309,openalex
2021,IR-E-U-0255,Indian Institute of Space Science and Technology,I882761360,791,12327,openalex
2021,IR-E-U-0184,Indian Institute of Technology Mandi,I9579091,1361,31543,openalex
2021,IR-E-U-0530,Motilal Nehru National Institute of Technology,I152869788,1962,48477,openalex
2021,IR-E-U-0395,Indian Institute of Technology Jodhpur,I154549908,935,20187,openalex
2021,IR-E-U-0172,National Institute of Technology Kurukshetra,I105094715,2310,47015,openalex
2021,IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,I916357946,1506,29665,openalex
2021,IR-E-U-0202,Birla Institute of Technology,I115715567,2162,34005,openalex
2021,IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,I42014448,2404,43727,openalex
2021,IR-E-U-0055,National Institute of Technology Silchar,I151903974,1873,38941,openalex
2021,IR-E-U-0374,Dr. B. R. Ambedkar National Institute of Technology,I70971781,1491,34771,openalex
2021,IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),I875944469,2231,31634,openalex
2021,IR-E-U-0014,International Institute of Information Technology Hyderabad,I64189192,878,21929,openalex
2021,IR-E-U-0474,Sathyabama Institute of Science and Technology,I43814544,2590,46817,openalex
2021,IR-E-U-0458,Kalasalingam Academy of Research and Education,I98499257,1568,32294,openalex
2021,IR-E-U-0249,Visvesvaraya Technological University,I65674248,1494,28928,openalex
2021,IR-E-U-0297,Defence Institute of Advanced Technology,I156406944,831,17932,openalex
2021,IR-E-U-0619,National Institute of Technology Meghalaya,I9523339,780,13435,openalex
2021,IR-E-U-0284,Maulana Azad National Institute of Technology,I91277730,1771,36231,openalex
2021,IR-E-U-0747,Chandigarh University,I101407740,1281,25247,openalex
2021,IR-E-U-0017,Jawaharlal Nehru Technological University,I142809039,1194,10818,openalex
2021,IR-E-U-0105,"Indraprastha Institute of Information Technology, Delhi",I119939252,1399,24404,openalex
2021,IR-E-U-0092,National Institute of Technology Raipur,I38335241,1681,31390,openalex
2021,IR-E-U-0379,Lovely Professional University,I110360157,2706,70656,openalex
2021,IR-E-U-0389,Banasthali Vidyapith,I102117144,1498,25685,openalex
2021,IR-E-U-0147,Pandit Deendayal Petroleum University,I33586908,975,24014,openalex
2021,IR-E-U-0197,National Institute of Technology Srinagar,I8778637,978,18465,openalex
2021,IR-E-C-26794,Thiagarajar College of Engineering,I21234101,1,11,openalex
2021,IR-E-U-0072,National Institute of Technology Patna,I11793825,1041,19490,openalex
2021,IR-E-U-0795,Indian Institute of Information Technology Guwahati,I4210089896,419,6202,openalex
2021,IR-E-C-24004,College of Engineering (A),I142253595,337,4191,openalex
2021,IR-E-U-0555,Graphic Era University,I60054993,970,14883,openalex
2021,IR-E-U-0221,International Institute of Information Technology Bangalore,I181514455,913,7437,openalex
2021,IR-E-U-0201,Shri Mata Vaishno Devi University,I59179055,768,17025,openalex
2021,IR-E-U-0733,PES University,I196608512,1240,10834,openalex
2021,IR-E-U-0620,National Institute of Technology Goa,I4210109276,407,7409,openalex
2021,IR-E-U-0207,"National Institute of Technology, Jamshedpur",I187761245,660,11237,openalex
2021,IR-E-U-0516,Indian Institute of Information Technology Allahabad,I26072440,993,17880,openalex
