year,category,band,institute_id,name,city,state
2016,Engineering,101-150,,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh
2016,Engineering,101-150,,AU College of Engineering (Autonomous),Visakhapatnam,Andhra Pradesh
2016,Engineering,101-150,,Banasthali Vidyapith,Banasthali,Rajasthan
2016,Engineering,101-150,,Bannari Amman Institute of Technology,Sathyamangalam,Tamil Nadu
2016,Engineering,101-150,,Bharatiya Vidya Bhavans Sardar Patel Institute of Technology,Mumbai,Maharashtra
2016,Engineering,101-150,,BNM Institute of Technology,Bengaluru,Karnataka
2016,Engineering,101-150,,Cochin University of Science and Technology,Cochin,Kerala
2016,Engineering,101-150,,CVR College of Engineering,Ibrahimpatan,Telangana
2016,Engineering,101-150,,Dayananda Sagar College of Engineering,Bengaluru,Karnataka
2016,Engineering,101-150,,Defence Institute of Advanced Technology,"Khadakwasala, Pune",Maharashtra
2016,Engineering,101-150,,Dr. B R Ambedkar National Institute of Technology,Jalandhar,Punjab
2016,Engineering,101-150,,Dr. Mahalingam College of Engineering and Technology,Pollachi,Tamil Nadu
2016,Engineering,101-150,,Gandhi Institute for Technological Advancement,Bhubaneswar,Odisha
2016,Engineering,101-150,,Ganeshi Lal Bajaj Institute of Technology and Management,Greater Noida,Uttar Pradesh
2016,Engineering,101-150,,Gayatri Vidya Parishad College of Engineering,Visakhapatnam,Andhra Pradesh
2016,Engineering,101-150,,Government College of Technology,Coimbatore,Tamil Nadu
2016,Engineering,101-150,,Heritage Institute of Technology,Kolkata,West Bengal
2016,Engineering,101-150,,"Indian Institute of Information Technology, Design & Manufacturing  Kancheepuram",Chennai,Tamil Nadu
2016,Engineering,101-150,,Institute of Engineering & Management,Kolkata,West Bengal
2016,Engineering,101-150,,Jawaharlal Nehru Technological University,Kakinada,Andhra Pradesh
2016,Engineering,101-150,,Jawaharlal Nehru Technological University,Anantapur,Andhra Pradesh
2016,Engineering,101-150,,Kamaraj College of Engineering & Technology,Virudhunagar,Tamil Nadu
2016,Engineering,101-150,,"Maharashtra Academy of Engineering and Educational Research, MIT College of Engineering",Pune,Maharashtra
2016,Engineering,101-150,,Narula Institute of Technology,Kolkata,West Bengal
2016,Engineering,101-150,,National Institute of Technology Agartala,Agratala,Tripura
2016,Engineering,101-150,,National Institute of Technology Goa,Ponda,Goa
2016,Engineering,101-150,,National Institute of Technology Jamshedpur,Jamshedpur,Jharkhand
2016,Engineering,101-150,,National Institute of Technology Patna,Patna,Bihar
2016,Engineering,101-150,,National Institute of Technology Raipur,Raipur,Chhattisgarh
2016,Engineering,101-150,,NITTE Meenakshi Institute of Technology,Bengaluru,Karnataka
2016,Engineering,101-150,,R.M.D. Engineering College,Kavaraipettai,Tamil Nadu
2016,Engineering,101-150,,Rajalakshmi Engineering College Engineering & Technology,Chennai,Tamil Nadu
2016,Engineering,101-150,,Sardar Patel College of Engineering,Mumbai,Maharashtra
2016,Engineering,101-150,,"School of Engineering, Cochin University of Science and Technology",Cochin,Kerala
2016,Engineering,101-150,,SCTR`s Pune Institute of Computer Technology,Pune,Maharashtra
2016,Engineering,101-150,,Shri Mata Vaishno Devi University,Katra,Jammu & Kashmir
2016,Engineering,101-150,,Shri Vishnu Engineering College for Women,Bhimavaram,Andhra Pradesh
2016,Engineering,101-150,,Sona College of Technology,Salem,Tamil Nadu
2016,Engineering,101-150,,Sri Jayachamarajendra College of Engineering,Mysore,Karnataka
2016,Engineering,101-150,,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu
2016,Engineering,101-150,,Sri Ramakrishna Engineering College,Coimbatore,Tamil Nadu
2016,Engineering,101-150,,The National Institute of Engineering,Mysore,Karnataka
2016,Engineering,101-150,,TKM College of Engineering,Kollam,Kerala
2016,Engineering,101-150,,University Institute of Engineering and Technology,Chandigarh,Chandigarh
