year,category,institute_id,name,city,state,tlr,rpc,go,oi,pr,score,rank,pdf_url,graph_url
2016,Engineering,IR17-ENGG-1-1-77,Indian Institute of Technology Madras,Chennai,Tamil Nadu,91.85,92.6,83.78,77.19,81.46,87.96,1,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-1-1-77.pdf,
2016,Engineering,IR17-ENGG-2-18633,Indian Institute of Technology Bombay,Mumbai,Maharashtra,91.15,94.68,83.64,69.7,84.24,87.87,2,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-18633.pdf,
2016,Engineering,IR17-ENGG-2-18630,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,76.03,89.23,88.02,74.11,73.43,81.93,3,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-18630.pdf,
2016,Engineering,IR17-ENGG-2-1-79,Indian Institute of Technology Delhi,New Delhi,Delhi,79.63,89.47,77.45,71.41,77.24,81.08,4,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-1-79.pdf,
2016,Engineering,IR17-ENGG-2-18248,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,84.28,77.28,74.29,61.35,73.59,76.83,5,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-18248.pdf,
2016,Engineering,IR17-ENGG-2-18677,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,72.3,74.36,88.31,70.95,43.47,73.1,6,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-18677.pdf,
2016,Engineering,IR17-ENGG-2-1-251,Indian Institute of Technology Guwahati,Guwahati,Assam,89.29,59.98,77.08,80.11,40.95,72.3,7,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-1-251.pdf,
2016,Engineering,IR17-ENGG-2-18292,Anna University,Chennai,Tamil Nadu,63.62,67.63,67.99,59.71,50.21,63.97,8,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-18292.pdf,
2016,Engineering,IR17-ENGG-2-10326,Jadavpur University,Kolkata,West Bengal,59.42,71.38,74.96,49.76,33.82,62.59,9,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-10326.pdf,
2016,Engineering,IR17-ENGG-2-1-345,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,82.6,36.21,71.26,73.75,29.72,60.24,10,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-1-345.pdf,
2016,Engineering,IR17-ENGG-1-1-370,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,62.0,46.27,74.38,75.81,45.04,59.44,11,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-1-1-370.pdf,
2016,Engineering,IR17-ENGG-2-1-140,National Institute of Technology Rourkela,Rourkela,Odisha,64.21,49.22,80.12,68.07,19.23,58.78,12,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-1-140.pdf,
2016,Engineering,IR17-ENGG-2-18572,Vellore Institute of Technology,Vellore,Tamil Nadu,56.49,54.02,64.91,75.56,44.6,58.16,13,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-18572.pdf,
2016,Engineering,IR17-ENGG-2-18261,Institute of Chemical Technology,Mumbai,Maharashtra,70.35,47.58,74.25,59.54,17.8,57.97,14,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-18261.pdf,
2016,Engineering,IR17-ENGG-2-1-346,Indian Institute of Technology Indore,Indore,Madhya Pradesh,83.73,32.72,70.72,75.64,10.64,57.7,15,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-1-346.pdf,
2016,Engineering,IR17-ENGG-2-18599,Birla Institute of Technology  & Science -Pilani,Pilani,Rajasthan,66.15,35.05,70.27,59.86,50.32,55.43,16,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-18599.pdf,
2016,Engineering,IR17-ENGG-2-18690,"Indian Institute of Engineering Science And Technology, Shibpur",Howrah,West Bengal,71.02,40.3,59.43,58.47,32.82,54.42,17,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-18690.pdf,
2016,Engineering,IR17-ENGG-1-18627,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,79.66,28.87,63.69,76.69,13.5,54.32,18,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-1-18627.pdf,
2016,Engineering,IR17-ENGG-2-1-344,Indian Institute of Technology Patna,Patna,Bihar,74.78,27.7,72.78,72.78,14.35,54.02,19,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-1-344.pdf,
2016,Engineering,IR17-ENGG-1-10356,Jamia Millia Islamia,New Delhi,Delhi,60.01,38.73,80.24,73.39,6.92,53.7,20,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-1-10356.pdf,
